window_size,pearson_threshold,gate_type,MSE,MAE,RMSE,Directional_Accuracy,Sharpe_Ratio,Max_Drawdown
30,0.45,sigmoid,37.579078838163014,3.2536002604166665,6.130177716686769,0.4,-0.5295365896198383,-0.01652878431478023
30,0.45,tanh,46.842741935404,3.8071966298421223,6.844175767424738,0.4866666666666667,8.763326622646995,0.0
30,auto,sigmoid,35.42123495431869,3.2113270568847656,5.95157415767616,0.46,5.884509449766707,0.0
30,auto,tanh,45.69609261076442,3.7154086049397788,6.759888505793895,0.38,2.0887045502361072,-0.007620972581200133
60,0.45,sigmoid,37.46347983602735,3.2088106536865233,6.120741771715855,0.4866666666666667,7.398296708351021,0.0
60,0.45,tanh,40.479477576975185,3.3387196095784506,6.362348432534577,0.49333333333333335,3.7365230289660345,-0.02158832296685446
60,auto,sigmoid,36.70408808562031,3.533134256998698,6.058389892175999,0.4,4.785588136708751,-0.006082490162076986
60,auto,tanh,44.682549284686296,3.680108133951823,6.68450067579369,0.4666666666666667,5.341260569185398,-0.004120499361302479
90,0.45,sigmoid,36.73658750506477,3.127119115193685,6.0610714815999955,0.5,10.782908435257058,0.0
90,0.45,tanh,42.49128207729101,3.5749330647786457,6.5185337367609755,0.42,2.39255072848629,-0.0066321021877163615
90,auto,sigmoid,37.11484361992887,3.375878626505534,6.09219530382348,0.4666666666666667,5.932824418872549,-0.002642881125209164
90,auto,tanh,37.17505398331937,3.229365717569987,6.097134899550721,0.47333333333333333,3.7421919022933086,-0.01800775155423314
