timestamp,container,cpu_percent,memory_usage,memory_percent,net_io
2026-06-10T16:10:29.585348+00:00,ie212-postgres,5.96,61.04MiB,0.79,155MB / 132MB
2026-06-10T16:10:29.585348+00:00,ie212-minio,0.04,83.3MiB,1.07,125kB / 110kB
2026-06-10T16:10:29.585348+00:00,ie212-kafka,1.23,297.4MiB,29.05,235kB / 471kB
2026-06-10T16:10:29.585348+00:00,ie212-stock-producer,0.0,108.6MiB,1.4,19.4MB / 1.72MB
2026-06-10T16:10:29.585348+00:00,ie212-spark-master,0.1,375.5MiB,4.84,2.1MB / 1.3GB
2026-06-10T16:10:29.585348+00:00,ie212-spark-worker,0.11,385.8MiB,4.98,1.3GB / 2.38MB
2026-06-10T16:10:29.585348+00:00,ie212-airflow-apiserver,0.16,236.5MiB,3.05,17.4kB / 21.4kB
2026-06-10T16:10:29.585348+00:00,ie212-airflow-scheduler,2.42,447.1MiB,5.77,66.8MB / 92MB
2026-06-10T16:10:29.585348+00:00,ie212-ml-infer,0.0,204.3MiB,2.63,121kB / 187kB
2026-06-10T16:10:29.585348+00:00,ie212-fastapi,0.12,45.66MiB,0.59,333kB / 354kB
2026-06-10T16:10:34.728028+00:00,ie212-postgres,1.75,60.63MiB,0.78,155MB / 132MB
2026-06-10T16:10:34.728028+00:00,ie212-minio,0.0,83.3MiB,1.07,125kB / 110kB
2026-06-10T16:10:34.728028+00:00,ie212-kafka,1.2,297.4MiB,29.05,235kB / 471kB
2026-06-10T16:10:34.728028+00:00,ie212-stock-producer,0.0,108.6MiB,1.4,19.4MB / 1.72MB
2026-06-10T16:10:34.728028+00:00,ie212-spark-master,0.07,375.5MiB,4.84,2.1MB / 1.3GB
2026-06-10T16:10:34.728028+00:00,ie212-spark-worker,0.09,385.8MiB,4.98,1.3GB / 2.38MB
2026-06-10T16:10:34.728028+00:00,ie212-airflow-apiserver,0.12,236.5MiB,3.05,17.4kB / 21.4kB
2026-06-10T16:10:34.728028+00:00,ie212-airflow-scheduler,3.96,447.1MiB,5.77,66.8MB / 92.1MB
2026-06-10T16:10:34.728028+00:00,ie212-ml-infer,0.0,204.3MiB,2.63,121kB / 187kB
2026-06-10T16:10:34.728028+00:00,ie212-fastapi,0.11,45.66MiB,0.59,333kB / 354kB
